order_code,shop,kho_ban,kenh_ban_hang,ngay_dat_hang,so_luong,ten_san_pham,gia_tri_thuoc_tinh_1,gia_san_pham,ma_san_pham
585693750039315899,Nước Giặt Xả Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:54:15+07:00,1,[MUA NHIỀU GIẢM NHIỀU] Nước Lau Kính Đa Năng Blue 560ml Siêu Sạch Chống Bám Bụi Đánh Bay Vết Bẩn Trên Tất Cả Các Bề Mặt Kính Không Để Lại Vệt Sọc,1 Chai (Không áp dụng Voucher Shop),38999,TP32279_02
585693663393252528,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:48:39+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
585693621257995636,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:47:45+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",1 cái (Ngẫu nhiên màu),15500,SKU_MT_1
585693604917774300,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:47:07+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
585693686010119492,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:46:35+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 5 Túi (Tiết kiệm nhất - Khuyên dùng),88999,SP000443
585693604499326681,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:45:40+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",3 cái (Ngẫu nhiên màu),39600,SKU_MT_3
585693594883753006,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:41:13+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
585693508333700522,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:37:31+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 2 Túi (Rẻ hơn mua lẻ 22%),45999,TP32743
585693494484764074,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:36:21+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 2 Túi (Rẻ hơn mua lẻ 22%),45999,TP32743
585693502985897340,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:35:41+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
