
----- BẢNG STATUS lúc 14:58:02 15/05/2026 -----
Tên file                         | Trang   | Hệ thống   | Mã khách hàng | PO             | Đơn giá | Trạng thái 
air_waybill_WH6_HN_15052026.pdf  | 4/41    | JIT-CHOICE | WH6_HN        | 260515EU1WUFXQ |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 5/41    | JIT-CHOICE | WH6_HN        | 260515EUUF6JFH |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 6/41    | JIT-CHOICE | WH6_HN        | 260515EVEV1P4K |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 7/41    | JIT-CHOICE | WH6_HN        | 260515EXKXM4G5 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 8/41    | JIT-CHOICE | WH6_HN        | 260515EXJTE68Y |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 9/41    | JIT-CHOICE | WH6_HN        | 260515EXRN93V2 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 10/41   | JIT-CHOICE | WH6_HN        | 260515EY2KSUN5 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 11/41   | JIT-CHOICE | WH6_HN        | 260515EY7EAU3U |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 12/41   | JIT-CHOICE | WH6_HN        | 260515F086D1R2 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 13/41   | JIT-CHOICE | WH6_HN        | 260515F0EU4D94 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 14/41   | JIT-CHOICE | WH6_HN        | 260515F1DR291F |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 15/41   | JIT-CHOICE | WH6_HN        | 260515F1RWN79F |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 16/41   | JIT-CHOICE | WH6_HN        | 260515F37TQTYJ |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 17/41   | JIT-CHOICE | WH6_HN        | 260515F3G7QY34 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 18/41   | JIT-CHOICE | WH6_HN        | 260515F3M7F5TR |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 19/41   | JIT-CHOICE | WH6_HN        | 260515F3RB3XXA |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 20/41   | JIT-CHOICE | WH6_HN        | 260515F412J6HU |         | ✅Hoàn Thành
